날짜,1학년(시수),2학년(시수),3학년(시수),6교시 주제,7교시 주제,6교시 담당,7교시 담당,,,,,
2026년 03 06일 금,자율(봉사 2),자율(봉사 2),봉사(2),교내 환경 정화 활동,,담임교사,담임교사,,,,,
2026년 03 13일 금,"자율(1)
자율(봉사 1)","자율(1)
자율(봉사 1)","자율(1)
봉사(1)",자치회(학급회 조직),학교주변 대청소 활동,생활지도부,생활지도부,,,,,
2026년 03 20일 금,자율(2),자율(2),자율(2),소방훈련,"간부 임명식,학교문화책임 규약식,금연선포식",생활지도부,생활지도부,,,,,
2026년 03 27일 금,동아리(2),동아리(2),동아리(2),동아리 조직,동아리 활동 내용 입력,교육연구부,교육연구부,,,,,
2026년 04 03일 금,자율(2),자율(2),자율(2),감염병예방교육, 자전거 및 개인형이동장치(PM)의 올바른 사용법,생활지도부,생활지도부,,,,,
2026년 04 10일 금,자율(2),자율(2),자율(2),다문화교육,다문화교육,창의인성부,창의인성부,,,,,
2026년 04 17일 금,동아리(2),동아리(2),동아리(2),동아리활동 내용: 생명 존중 교육 활동,동아리활동 내용: 생명 존중 교육 활동,교육정보부,교육정보부,,,,,
2026년 04 24일 금,"동아리(4)
자율(봉사 1)","동아리(4)
자율(봉사 1)","동아리(4)
봉사(1)","(1~4교시) 동아리활동 주제: 부서별 동아리 활동 내용 입력
(5교시) 봉사활동 주제: 체육 한마당 활동 후 환경정화활동",,체육과,체육과,,,,,
2026년 05 08일 금,자율(봉사3),자율(봉사3),봉사(3),(1~3교시) 현장체험학습장소 주변 환경 보호 활동,,학년부,학년부,,,,,
2026년 05 22일 금,동아리(2),동아리(2),동아리(2),동아리 활동 내용 입력,동아리 활동 내용 입력,교육연구부,교육연구부,,,,,
2026년 05 29일 금,자율(2),자율(2),자율(2),장애인식 개선 교육,찾아가는 성희롱성폭력 교육,교무기획부,생활지도부,,,,,
2026년 06 05일 금,동아리(2),동아리(2),동아리(2),동아리 활동 내용 입력,동아리 활동 내용 입력,교육연구부,교육연구부,,1학기 합계,,,
2026년 06 12일 금,자율(2),자율(2),자율(2),정보통신윤리교육,정보통신윤리교육,교육정보부,교육정보부,,,"1학년
(배정/기준)","2학년
(배정/기준)","3학년
(배정/기준)"
2026년 06 19일 금,동아리(2),동아리(2),동아리(2),동아리 활동 내용 입력,동아리 활동 내용 입력,교육연구부,교육연구부,,동아리,(16/16),(16/16),(16/16)
2026년 06 26일 금,자율(2),자율(2),자율(2),학교로 찾아가는 유해약물 오·남용 예방교육 ,학교폭력의 유형과 현황 및 위험성 인식하기,생활지도부,생활지도부,,봉사,(8/0),(8/0),(8/8)
2026년 06 30일 화,자율(3),자율(3),자율(3),"(2~4교시, 1교시 blank) 문화예술체험","(2~4교시,1교시 blank) 문화예술체험",창의인성부,창의인성부,,자율.자치,(24/16),(24/16),(24/8)
2026년 07 02일 목,자율(2),자율(2),자율(2),(5교시) 재난안전교육,(6교시) 물놀이안전교육,생활지도부,생활지도부,,,,,
2026년 07 03일 금,동아리(2),동아리(2),동아리(2),동아리 활동 내용 입력,동아리 활동 내용 입력,교육연구부,교육연구부,,,,,
2026년 07 09일 목,자율(3),자율(3),자율(3),(1~3교시) 문화예술체험,(1~3교시) 문화예술체험,창의인성부,창의인성부,,,,,
2026년 07 15일 수,자율(2),자율(2),자율(2),디지털성폭력 대응 및 예방교육(딥페이크 포함),학급자치회,생활지도부,생활지도부,,,,,
2026년 07 16일 목,"자율(봉사1)
자율(1)","자율(봉사1)
자율(1)","봉사(1)
자율(1)"," (1교시)
학교주변 대청소 활동"," (2교시)
방학식",생활지도부,교무기획부,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
2026년 09 11일 금,"자율(1)
자율(봉사1)","자율(1)
자율(봉사1)","자율(1)
봉사(1)",학급자치회,학교주변 대청소 활동,생활지도부,교무기획부,,,,,
2026년 09 18일 금,자율(2),자율(2),자율(2),마약류 중독 오남용,자전거 및 개인형이동장치(PM)의 올바른 사용법,생활지도부,생활지도부,,,,,
2026년 10 02일 금,자율(2),자율(2),자율(2),정보통신윤리교육,정보통신윤리교육,교육정보부,교육정보부,,,,,
2026년 10 16일 금,동아리(2),동아리(2),동아리(2),동아리 활동 내용 입력,동아리 활동 내용 입력,교육연구부,교육연구부,,,,,
2026년 10 23일 금,동아리(2),동아리(2),동아리(2),동아리 활동 내용 입력,동아리 활동 내용 입력,교육연구부,교육연구부,,,,,
2026년 10 30일 금,자율(2),자율(2),자율(2),학교폭력의 유형과 현황 및 위험성 인식하기,현장체험학습 안전 교육,생활지도부,생활지도부,,,,,
2026년 11 02일 월,자율(봉사3),자율(봉사3),봉사(3),(1~3교시) 현장체험학습장소 주변 환경 보호 활동,,학년부,학년부,,,,,
2026년 11 04일 수,-,"자율(4)
자율(봉사 2)",-,"(1~4교시) 현장체험학습
(5~6교시) 현장체험학습 장소 주변 청소",-,2학년부,2학년부,,,,,
2026년 11 05일 목,-,"자율(4)
자율(봉사 2)",-,"(1~4교시) 현장체험학습
(5~6교시) 현장체험학습 장소 주변 청소",-,2학년부,2학년부,,,,,
2026년 11 06일 금,-,"자율(4)
자율(봉사 2)",-,"(1~4교시) 현장체험학습
(5~6교시) 현장체험학습 장소 주변 청소",-,2학년부,2학년부,,,,,
2026년 11 13일 금,동아리(2),동아리(2),동아리(2),동아리 활동 내용 입력,동아리 활동 내용 입력,교육연구부,교육연구부,,,,,
2026년 11 20일 금,자율(5),-,-,(1~5교시) 문화예술체험활동,,1학년부,1학년부,,,,,
2026년 11 23일 월,자율(2),자율(2),자율(2),생명존중교육(추수감사예배),생명존중교육(추수감사예배),교육정보부,교육정보부,,,,,
2026년 11 24일 화,"자율(1)
자율(봉사1)","자율(1)
자율(봉사1)","자율(1)
봉사(1)",학급자지회,학교주변 대청소 활동,생활지도부,생활지도부,,,,,
2026년 11 27일 금,동아리(2),동아리(2),동아리(2),동아리 활동 내용 입력,동아리 활동 내용 입력,교육연구부,교육연구부,,,,,
2026년 11 30일 월,자율(2),자율(2),자율(2),"성희롱, 성매매 예방교육",디지털 성폭력 예방교육,생활지도부,생활지도부,,2학기 합계,,,
2026년 12 01일 화,자율(2),자율(2),자율(2),성폭력 예방교육,감염병 예방교육,생활지도부,생활지도부,,,,,
2026년 12 02일 수,자율(3),자율(3),자율(3),(1교시~3교시) 문화예술체험,(1교시~3교시) 문화예술체험,창의인성부,창의인성부,,,,,
2026년 12 04일 금,동아리(2),동아리(2),동아리(2),동아리 활동 내용 입력,동아리 활동 내용 입력,교육연구부,교육연구부,,,"1학년
(배정/기준)","2학년
(배정/기준)","3학년
(배정/기준)"
2026년 12 11일 금,"자율(1)
자율(봉사1)","자율(1)
자율(봉사1)","자율(1)
봉사(1)",학급 자치회,학교주변 대청소 활동,생활지도부,생활지도부,,동아리,(16/16),(16/16),(16/16)
2026년 12 18일 금,동아리(2),동아리(2),동아리(2),동아리 활동 내용 입력,동아리 활동 내용 입력,교육연구부,교육연구부,,봉사,(9/0),(15/0),(9/8)
2026년 12 30일 수,자율(3),자율(3),자율(3),(1교시~3교시) 문화예술체험,(1교시~3교시) 문화예술체험,창의인성부,창의인성부,,자율.자치,(32/16),(39/16),(27/8)
